Game,2014,2019,2018,2015,2017,2013,N/A,2016,2020,Genre,North America,Europe,Japan,Rest of World,Global,Publisher
BioShock The Collection,0,0,0,0,0,0,0,1,0,Shooter,6.63430420711974,2.883625128733265,1.3824884792626728,4.635761589403974,4.435275915420319,2K Games
Thief 4,1,0,0,0,0,0,0,0,0,Action,4.5307443365695805,4.222451081359423,1.3824884792626728,4.304635761589404,4.383702939659618,Square Enix
Until Dawn: Rush of Blood,0,0,0,0,0,0,0,1,0,Shooter,8.090614886731393,2.1627188465499483,0.0,4.966887417218543,4.383702939659618,Sony Interactive Entertainment
Disney Infinity 3.0,0,0,0,1,0,0,0,0,0,Action,5.016181229773464,4.119464469618949,0.0,4.635761589403974,4.383702939659618,Disney Interactive Studios
Farming Simulator 17,0,0,0,0,0,0,0,1,0,Simulation,3.0744336569579294,5.355303810504634,0.46082949308755783,4.304635761589404,4.383702939659618,Focus Home Interactive
The Crew 2,0,0,1,0,0,0,0,0,0,Racing,3.5598705501618126,4.325437693099897,2.3041474654377883,3.9735099337748343,4.228984012377514,Ubisoft
Pro Evolution Soccer 2016,0,0,0,1,0,0,0,0,0,Sports,2.2653721682847903,4.4284243048403695,6.451612903225809,3.311258278145696,4.228984012377514,Konami Digital Entertainment
ARK: Survival Evolved,0,0,0,0,1,0,0,0,0,Action,4.5307443365695805,2.986611740473738,6.451612903225809,3.642384105960265,4.177411036616813,Studio Wildcard
Dragon Quest Heroes: The World's Tree Woe and the Blight Below,0,0,0,1,0,0,0,0,0,Action,3.3980582524271847,1.4418125643666324,17.97235023041475,2.317880794701987,4.177411036616813,Square Enix
Assassin's Creed The Ezio Collection,0,0,0,0,0,0,0,1,0,Action,2.2653721682847903,5.355303810504634,0.9216589861751154,3.9735099337748343,4.074265085095409,Ubisoft
